gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,customerID - Copy,Multiple lines,Streaming Tv,Tenure Band,Customer Type,Risk Type
Female,0,No,Yes,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,94.26,0,Yes,5919-Tmrgd,No,Yes,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,No,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,24.8,0,Yes,1024-Guald,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,72.1,0,No,0021-Ikxgc,Yes,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,85.7,0,Yes,5192-Ebgov,Yes,Yes,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,80,0,Yes,1448-Pwkye,No,No,0-6 Months,New Customer,High Risk
Male,1,Yes,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,73.55,0,Yes,6513-Eecdb,Yes,No,0-6 Months,New Customer,High Risk
Male,0,Yes,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,No,Credit Card (Automatic),44.7,0,Yes,9448-Reevd,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Electronic Check,90.55,0,Yes,7294-Tmaop,No,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,80.55,0,No,7439-Dkztw,No,Yes,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Dsl,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,60.15,0,Yes,5673-Fssmf,Yes,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.9,0,Yes,6358-Lyngm,Yes,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.25,0,Yes,7206-Gzcdc,No,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,No,Electronic Check,76,0,Yes,6960-Hvyxr,Yes,No,0-6 Months,New Customer,High Risk
Male,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.7,0,Yes,5240-Ijoqt,Yes,No,0-6 Months,New Customer,High Risk
Female,0,No,No,1,Yes,Fiber Optic,No,No,No,No,Yes,Month-To-Month,No,Mailed Check,85.8,0,Yes,3049-Ndxfl,Yes,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,59.85,0,Yes,3877-Jrjip,Yes,Yes,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),43.85,0,No,6650-Vjonk,No,No,0-6 Months,New Customer,High Risk
Female,0,Yes,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,45,0,No,8356-Wuaoj,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Dsl,No,No,No,No,No,Month-To-Month,Yes,Mailed Check,45.55,0,No,3566-Hjgpk,No,No,0-6 Months,New Customer,High Risk
Female,1,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,69.95,0,Yes,8000-Reiqb,No,No,0-6 Months,New Customer,High Risk
Male,0,No,No,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,79.95,0,Yes,9300-Rendd,No,Yes,0-6 Months,New Customer,High Risk
Male,0,Yes,Yes,1,Yes,Fiber Optic,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,74.5,0,Yes,7180-Pisog,Yes,No,0-6 Months,New Customer,High Risk
